N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
50,기업은행,"11,150",0,0.00%,"5,000","82,990","744,301",14.64,"1,234,171",3.68,9.21
51,SK스퀘어,"57,500",500,+0.88%,100,"81,344","141,468",39.72,"641,836",3.56,N/A
52,현대글로비스,"196,500","2,000",-1.01%,500,"73,688","37,500",44.18,"90,882",9.41,14.41
53,SK바이오팜,"89,100",500,+0.56%,500,"69,777","78,313",6.05,"67,047",107.61,15.75
54,LG디스플레이,"19,450",400,+2.10%,"5,000","69,595","357,816",16.37,"2,847,559",5.87,9.68
55,롯데케미칼,"197,000",500,+0.25%,"5,000","67,523","34,275",24.22,"80,748",5.02,9.87
56,한화솔루션,"34,250",250,-0.72%,"5,000","65,513","191,278",18.76,"604,260",10.36,8.79
57,한국조선해양,"92,000",200,+0.22%,"5,000","65,111","70,773",19.66,"344,996",-7.01,-8.95
58,LG유플러스,"14,200",50,-0.35%,"5,000","61,999","436,611",37.25,"1,166,321",8.70,9.47
59,한온시스템,"11,400",100,-0.87%,100,"60,853","533,800",17.42,"521,105",19.72,13.83
60,SKC,"158,500","2,500",+1.60%,"5,000","60,021","37,868",15.83,"266,031",27.18,11.60
61,강원랜드,"27,700",50,+0.18%,500,"59,262","213,940",18.90,"516,116",-565.31,-0.33
62,CJ제일제당,"393,000","3,000",+0.77%,"5,000","59,163","15,054",22.54,"24,246",10.50,10.76
63,메리츠화재,"47,700",100,+0.21%,500,"57,538","120,625",11.58,"133,243",8.72,26.12
64,맥쿼리인프라,"13,900",0,0.00%,0,"56,274","404,846",14.50,"867,260",N/A,N/A
65,F&F,"146,500",500,+0.34%,100,"56,120","38,307",13.92,"121,319",16.11,N/A
66,메리츠금융지주,"42,350",950,+2.29%,500,"55,500","131,051",6.95,"234,004",7.19,22.33
67,현대제철,"41,500",50,+0.12%,"5,000","55,380","133,446",20.70,"472,639",3.79,8.54
68,삼성중공업,"6,140",150,+2.50%,"1,000","54,032","880,000",14.86,"16,589,306",-2.99,-36.89
69,KODEX 200,"36,235",205,-0.56%,0,"53,447","147,500",6.62,"3,008,513",N/A,N/A
70,에스디바이오센서,"50,900",700,-1.36%,500,"52,565","103,271",12.65,"169,516",4.69,72.47
71,미래에셋증권,"8,430",20,-0.24%,"5,000","51,871","615,316",13.99,"1,216,200",5.79,11.66
72,DB손해보험,"70,000",200,+0.29%,500,"49,560","70,800",43.36,"115,009",5.70,13.38
73,현대건설,"44,350",700,-1.55%,"5,000","49,386","111,356",23.27,"487,163",12.15,5.89
74,코웨이,"66,400",300,-0.45%,500,"49,003","73,800",61.18,"102,970",10.52,27.41
75,삼성엔지니어링,"24,400",100,+0.41%,"5,000","47,824","196,000",40.34,"833,037",12.84,20.67
76,금호석유,"154,000",0,0.00%,"5,000","46,656","30,296",20.06,"80,069",2.62,47.76
77,메리츠증권,"6,980",150,+2.20%,"1,000","46,053","659,791",12.89,"1,810,676",6.60,15.77
78,HD현대,"57,900",600,+1.05%,"1,000","45,737","78,993",16.12,"208,951",-34.57,-1.99
79,일진머티리얼즈,"96,300",700,+0.73%,500,"44,405","46,111",11.44,"264,772",70.76,7.85
80,유한양행,"58,900","1,100",-1.83%,"1,000","43,133","73,231",18.05,"204,710",42.71,5.45
81,한국타이어앤테크놀로지,"34,250",200,-0.58%,500,"42,427","123,875",40.01,"309,552",7.10,7.69
82,한국금융지주,"75,300",400,-0.53%,"5,000","41,962","55,726",34.88,"156,007",2.63,27.12
83,한국항공우주,"43,000",400,+0.94%,"5,000","41,914","97,475",18.09,"618,192",65.55,5.19
84,GS,"44,250",50,+0.11%,"5,000","41,115","92,915",19.09,"170,655",2.89,15.55
85,쌍용C&E,"8,080",0,0.00%,100,"40,712","503,860",3.23,"543,511",21.90,11.12
86,두산밥캣,"40,250",850,+2.16%,500,"40,350","100,249",25.05,"266,400",10.46,9.19
87,아모레G,"48,150",900,+1.90%,500,"39,704","82,458",15.34,"149,413",25.68,5.49
88,한진칼,"58,500","2,200",-3.62%,"2,500","39,055","66,761",14.79,"658,206",227.63,1.11
89,삼성카드,"33,400",150,+0.45%,"5,000","38,697","115,859",7.27,"115,725",7.02,7.53
90,이마트,"137,500","1,000",+0.73%,"5,000","38,329","27,876",29.84,"86,896",2.44,16.25
91,NH투자증권,"11,250",150,-1.32%,"5,000","37,312","331,666",15.93,"1,446,553",3.67,14.77
92,한미약품,"300,000","5,000",+1.69%,"2,500","36,954","12,318",13.43,"78,556",55.14,8.75
93,한국가스공사,"39,850",850,+2.18%,"5,000","36,787","92,313",10.47,"520,001",3.87,11.63
94,삼성증권,"40,950",150,-0.36%,"5,000","36,568","89,300",30.01,"329,253",3.79,16.94
95,GS건설,"42,500",750,-1.73%,"5,000","36,372","85,581",27.47,"640,119",8.87,9.32
96,현대오토에버,"129,500","1,000",-0.77%,500,"35,514","27,424",1.92,"86,863",47.93,7.26
97,팬오션,"6,610",240,+3.77%,"1,000","35,335","534,570",14.24,"4,234,574",6.43,17.16
98,롯데지주,"32,950",200,+0.61%,200,"34,568","104,909",7.77,"81,734",11.31,4.61
